date,card,category,type,amount
2021-10-17,3,Food and Rest,outcome,106.20
2021-10-17,3,Party,outcome,406.00
2021-10-18,2,Public Transport,outcome,180.00
2021-10-19,3,Food and Rest,outcome,1349.24
2021-10-19,3,Food and Rest,outcome,73.00
2021-10-19,2,Public Transport,outcome,300.00
2021-10-20,3,Food and Rest,outcome,55.00
2021-10-20,3,Food and Rest,outcome,160.00
2021-10-20,3,Others,outcome,860.00
2021-10-20,3,Transactions,outcome,1000.00
2021-10-20,2,Transactions,income,1000.00
2021-10-20,2,Others,income,150.00
2021-10-20,2,Public Transport,outcome,300.00
2021-10-20,2,Public Transport,outcome,46.00
2021-10-21,2,Transactions,income,5000.00
2021-10-21,2,Others,income,5000.00
2021-10-21,3,Transactions,income,5000.00
2021-10-21,2,Transactions,outcome,5000.00
2021-10-21,3,Party,outcome,1920.74
2021-10-21,3,Smoke,outcome,1650.00
2021-10-22,3,Public Transport,outcome,400.00
2021-10-22,3,Food and Rest,outcome,149.00
2021-10-23,2,Others,income,450.00
2021-10-23,3,Food and Rest,outcome,330.00
2021-10-23,3,Party,outcome,195.00
2021-10-24,3,Others,outcome,500.00
2021-10-25,3,Transactions,income,2000.00
2021-10-25,3,Smoke,outcome,500.00
2021-10-25,3,Food and Rest,outcome,115.00
2021-10-25,3,Others,income,10000.00
2021-10-25,3,Public Transport,outcome,8678.00
2021-10-26,3,Public Transport,outcome,600.00
2021-10-26,2,Food and Rest,outcome,230.00
2021-10-26,2,Public Transport,outcome,138.00
2021-10-26,2,Food and Rest,outcome,600.00
2021-10-26,3,Partner,outcome,1080.00
2021-10-26,3,Party,outcome,2800.00
2021-10-26,3,Others,income,800.00
2021-10-27,2,Others,outcome,500.00
2021-10-28,3,Food and Rest,outcome,400.00
2021-10-28,2,Public Transport,outcome,651.00
2021-10-28,2,Others,income,250.00
2021-10-28,3,Transactions,income,2000.00
2021-10-28,2,Transactions,outcome,2000.00
2021-10-28,3,Party,outcome,1025.00
2021-10-28,2,Others,income,1200.00
2021-10-29,2,Public Transport,outcome,46.00
2021-10-30,2,Public Transport,outcome,755.00
2021-10-30,3,Smoke,outcome,650.00
2021-10-30,3,Food and Rest,outcome,154.99
2021-10-30,3,Transactions,income,25.07
2021-10-31,3,Others,outcome,59.00
2021-11-01,3,Others,outcome,720.00
2021-11-02,3,Transactions,income,2000.00
2021-11-02,2,Transactions,outcome,2000.00
2021-11-02,3,Food and Rest,outcome,1170.00
2021-11-04,3,Food and Rest,outcome,200.00
2021-11-05,3,Food and Rest,outcome,420.00
2021-11-05,3,Public Transport,outcome,46.00
2021-11-06,3,Others,outcome,120.00
2021-11-06,3,Food and Rest,outcome,35.00
2021-11-07,3,Transactions,income,420.00
2021-11-07,3,Public Transport,outcome,420.00
2021-11-07,3,Food and Rest,outcome,470.00
2021-11-08,3,Public Transport,outcome,46.00
2021-11-09,2,Public Transport,outcome,180.00
2021-11-09,2,Others,outcome,60.00
2021-11-10,3,Transactions,income,2000.00
2021-11-10,2,Others,outcome,437.33
2021-11-10,3,Food and Rest,outcome,799.00
2021-11-10,2,Others,income,217.00
2021-11-11,3,Food and Rest,outcome,381.00
2021-11-11,2,Others,income,12000.00
2021-11-11,2,Others,outcome,11950.32
2021-11-11,2,Public Transport,outcome,240.00
2021-11-13,2,Public Transport,outcome,222.00
2021-11-13,3,Food and Rest,outcome,591.10
2021-11-14,2,Others,income,2000.00
2021-11-14,2,Public Transport,outcome,300.00
2021-11-14,3,Others,income,200.00
2021-11-14,2,Others,income,150.00
2021-11-14,3,Transactions,income,1000.00
2021-11-14,2,Transactions,outcome,1000.00
2021-11-14,3,Food and Rest,outcome,1106.00
2021-11-15,3,Food and Rest,outcome,420.00
2021-11-16,2,Others,income,5000.00
